"county_code","date_id","Clinton","Trump","Stein","Johnson"
13115,1001,1.73,2.87,0.02,0.15
13117,1001,2.02,3.93,0.11,0.52
13119,1001,1.49,4.06,0.00,0.21
13121,1001,1.80,3.51,0.10,0.37
13123,1001,2.36,3.22,0.20,0.20
13125,1001,3.37,4.49,0.00,0.00
13127,1001,1.30,3.25,0.09,0.28
13129,1001,1.59,2.82,0.04,0.37
13131,1001,0.66,2.18,0.00,0.09
13133,1001,2.04,2.34,0.00,0.38
13135,1001,1.80,2.96,0.13,0.39
13137,1001,1.57,2.65,0.04,0.38
13139,1001,1.69,3.26,0.08,0.55
13141,1001,0.68,2.74,0.00,0.00
13143,1001,1.88,2.58,0.05,0.32
13145,1001,1.52,2.54,0.00,0.76
13147,1001,1.10,3.60,0.00,0.06
13149,1001,1.96,3.38,0.18,1.07
13151,1001,1.72,3.21,0.11,0.29
13153,1001,2.04,3.07,0.13,0.62
13155,1001,1.32,1.85,0.00,0.26
13157,1001,1.96,3.20,0.10,0.34
13159,1001,5.76,6.70,0.00,0.16
13161,1001,0.99,4.13,0.33,0.17
13163,1001,1.42,4.12,0.00,0.00
13165,1001,0.73,2.20,0.00,0.00
13167,1001,0.00,4.06,0.00,0.58
13169,1001,1.00,2.42,0.00,0.47
13171,1001,1.86,3.43,0.07,0.21
13173,1001,1.85,3.43,0.00,0.00
13175,1001,1.60,4.03,0.00,0.16
13177,1001,1.42,2.61,0.06,0.28
13179,1001,1.10,2.99,0.08,0.27
13181,1001,1.46,4.87,0.00,0.73
13183,1001,1.06,3.70,0.00,0.26
13185,1001,1.45,3.09,0.05,0.55
13187,1001,2.15,3.32,0.15,0.44
13189,1001,1.74,2.40,0.00,0.20
13191,1001,0.60,2.69,0.00,0.00
13193,1001,0.70,1.40,0.00,1.17
13195,1001,1.35,2.52,0.09,0.18
13197,1001,0.00,2.60,0.00,0.00
13199,1001,1.58,2.13,0.06,0.18
13201,1001,3.18,2.23,0.00,0.00
13205,1001,1.20,2.01,0.00,0.00
13207,1001,1.64,2.14,0.14,0.00
13209,1001,2.05,5.22,0.00,0.37
13211,1001,1.25,4.31,0.07,0.49
13213,1001,1.96,3.92,0.08,0.37
13215,1001,1.47,2.67,0.09,0.71
13217,1001,1.60,2.94,0.02,0.21
13219,1001,2.26,3.41,0.16,0.37
13221,1001,0.82,6.22,0.00,0.33
13223,1001,1.71,3.47,0.11,0.38
13225,1001,1.53,4.21,0.04,1.50
13227,1001,3.34,3.09,0.08,0.21
13229,1001,1.40,2.88,0.09,0.09
13231,1001,1.84,2.60,0.11,0.22
13233,1001,2.16,4.58,0.05,0.38
13235,1001,0.97,3.56,0.00,0.49
13237,1001,2.71,5.90,0.05,0.19
13239,1001,0.00,2.78,0.00,0.00
13241,1001,2.08,3.33,0.00,0.21
13243,1001,0.93,4.02,0.31,0.62
13245,1001,1.73,3.31,0.13,0.42
13247,1001,0.97,2.42,0.07,0.31
13249,1001,1.00,0.50,0.00,0.00
13251,1001,1.24,4.26,0.00,0.14
13253,1001,1.05,1.47,0.00,0.42
13255,1001,1.77,3.45,0.07,0.14
13257,1001,1.29,3.25,0.00,0.37
13259,1001,0.54,2.17,0.00,0.00
13261,1001,2.04,3.17,0.09,0.52
13263,1001,2.26,4.51,0.00,0.00
13265,1001,1.41,1.41,0.00,1.41
13267,1001,1.30,4.15,0.10,0.24
13269,1001,1.41,1.98,0.00,0.00
13271,1001,0.77,2.06,0.00,0.00
13273,1001,2.48,5.17,0.21,0.21
13275,1001,1.63,2.84,0.06,0.20
13277,1001,1.59,3.53,0.06,0.34
13279,1001,2.00,5.70,0.00,0.15
13281,1001,2.51,4.08,0.00,0.31
13283,1001,0.56,6.78,0.00,0.56
13285,1001,1.37,3.30,0.03,0.29
13287,1001,1.10,3.74,0.00,0.22
13289,1001,1.36,3.64,0.00,0.00
13291,1001,1.18,2.70,0.00,0.20
13293,1001,3.57,5.68,0.00,0.32
13295,1001,2.03,4.56,0.22,0.41
13297,1001,1.86,3.36,0.09,0.31
13299,1001,1.42,4.46,0.07,0.14
13301,1001,0.37,2.62,0.00,0.75
13303,1001,1.12,2.59,0.00,0.00
13305,1001,1.04,2.86,0.00,0.21
13307,1001,2.56,7.69,0.00,0.00
13309,1001,1.09,5.98,0.00,0.00
13311,1001,2.40,4.76,0.21,0.73
13313,1001,2.33,4.50,0.12,0.69
13315,1001,1.95,3.58,0.00,0.33
13317,1001,0.50,3.87,0.00,0.00
13319,1001,2.02,4.64,0.00,0.00
13321,1001,1.16,3.53,0.00,0.14
15001,1001,1.60,2.77,0.25,0.31
15003,1001,1.35,2.64,0.14,0.37
15005,1001,0.00,0.00,0.00,0.00
15007,1001,1.88,3.63,0.15,0.38
15009,1001,1.72,2.86,0.15,0.27
16001,1001,1.88,3.12,0.16,0.57
16003,1001,1.63,1.63,0.00,0.82
16005,1001,2.22,2.57,0.17,0.53
16007,1001,1.03,3.44,0.00,0.34
16009,1001,0.96,3.44,0.00,0.00
16011,1001,1.48,3.10,0.10,0.47
16013,1001,2.28,3.86,0.19,0.47
16015,1001,0.97,1.94,0.19,0.19
16017,1001,2.58,2.54,0.11,0.15
16019,1001,1.65,3.10,0.10,0.39
16021,1001,1.40,3.15,0.18,0.88
16023,1001,0.83,2.90,0.00,0.83
16025,1001,0.00,0.00,0.00,0.00
16027,1001,1.89,3.18,0.11,0.47
16029,1001,0.69,1.61,0.00,0.00
16031,1001,1.59,4.31,0.00,0.23
16033,1001,0.00,0.00,0.00,0.00
16035,1001,1.96,3.91,0.00,0.28
16037,1001,1.91,2.55,0.00,0.64
16039,1001,1.45,2.49,0.15,0.60
16041,1001,1.42,2.97,0.14,0.42
16043,1001,1.52,1.93,0.00,0.69
16045,1001,1.65,7.31,0.00,0.31
16047,1001,0.63,4.89,0.16,0.32
16049,1001,1.37,1.98,0.30,0.15
16051,1001,1.67,2.38,0.08,0.79
16053,1001,1.57,2.94,0.07,0.21
16055,1001,1.50,3.04,0.17,0.42
16057,1001,1.80,3.02,0.23,0.62
16059,1001,1.36,2.71,0.39,0.19
16061,1001,0.00,2.22,0.00,0.00
16063,1001,1.66,4.35,0.00,0.21
16065,1001,1.02,2.82,0.02,0.37
16067,1001,2.80,3.61,0.00,0.40
16069,1001,1.85,2.80,0.00,0.43
16071,1001,0.68,3.04,0.00,0.00
16073,1001,2.25,2.25,0.00,0.00
16075,1001,1.99,3.99,0.15,0.89
16077,1001,1.82,3.87,0.00,0.46
16079,1001,1.76,2.78,0.44,0.15
16081,1001,1.31,4.29,0.09,0.65
16083,1001,1.28,3.21,0.11,0.39
16085,1001,1.11,2.39,0.09,0.34
16087,1001,0.90,1.81,0.00,1.13
17001,1001,1.63,3.36,0.08,0.43
17003,1001,1.91,2.39,0.00,0.00
17005,1001,2.46,4.31,0.31,3.70
17007,1001,2.98,4.48,0.07,0.39
17009,1001,0.75,4.14,0.00,0.38
17011,1001,1.68,3.05,0.24,0.72
17013,1001,1.32,5.26,0.00,0.00
17015,1001,3.28,4.64,0.23,1.25
17017,1001,2.41,4.19,0.13,0.13
17019,1001,1.89,3.82,0.21,0.57
17021,1001,1.56,3.07,0.15,0.25
17023,1001,2.09,3.29,0.00,0.20
17025,1001,2.55,5.10,0.23,0.81
17027,1001,1.79,3.76,0.00,0.34
17029,1001,2.53,3.21,0.15,0.55
17031,1001,2.12,3.71,0.16,0.48
17033,1001,2.17,4.06,0.19,0.75
17035,1001,2.65,2.46,0.00,0.00
17037,1001,2.04,3.64,0.18,0.64
17039,1001,2.53,2.77,0.16,0.57
17041,1001,1.78,3.56,0.18,0.71
17043,1001,2.35,3.80,0.26,0.72
17045,1001,0.87,3.68,0.00,0.48
17047,1001,1.86,3.26,0.00,0.00
17049,1001,2.20,4.00,0.11,0.51
17051,1001,1.20,1.70,0.30,0.50
17053,1001,2.22,3.40,0.00,0.13
17055,1001,1.98,4.75,0.31,0.37
17057,1001,1.65,5.04,0.15,0.67
17059,1001,1.99,2.49,0.00,0.00
17061,1001,3.58,0.98,0.16,0.49
17063,1001,1.60,3.01,0.31,0.46
17065,1001,2.78,3.03,0.00,0.00
17067,1001,0.73,3.29,0.18,0.37
17069,1001,3.83,6.38,0.00,0.00
17071,1001,3.02,5.44,0.91,1.51
17073,1001,1.84,3.73,0.16,1.11
17075,1001,2.21,3.11,0.00,0.51
17077,1001,2.10,4.39,0.23,0.75
